Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q2,0.0139094,537.732
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q2,0.0052641,166.364
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q2,0.0384731,1216.728
Industry groups,Education and training,SG01RSC04B01PP1,1993Q2,0.039974,1735.778
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q2,0.0434436,1464.112
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q2,0.0106225,352.447
Industry groups,Other services,SG01RSC04B01RS2,1993Q2,0.0169469,489.446
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q2,0.070546,1896.413
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q3,0.0507368,1745.931
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q3,0.0134082,195.236
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q3,0.0091133,283.692
Industry groups,Mining,SG01RSC04B01BB1,1993Q3,0.0137555,614.606
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q3,0.0553027,1179.852
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q3,0.0107858,282.191
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q3,0.0180469,411.419
Industry groups,Printing,SG01RSC04B01CC4,1993Q3,0.0068038,193.185
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q3,0.0364135,870.558
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q3,0.0058345,164.386
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q3,0.0200692,557.914
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q3,0.0214171,751.811
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q3,0.0047012,174.33
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q3,0.0305941,1251.508
Industry groups,Construction,SG01RSC04B01EE1,1993Q3,0.035927,1277.135
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q3,0.0550565,1603.909
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q3,0.0467911,1198.86
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q3,0.0164506,644.037
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q3,0.0518636,1184.444
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q3,0.0397334,545.497
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q3,0.0450688,1497.804
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q3,0.0493695,1854.554
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q3,0.0740884,1987.488
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q3,0.0494887,1930.106
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q3,0.0139094,546.802
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q3,0.0052641,171.757
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q3,0.0384731,1197.066
Industry groups,Education and training,SG01RSC04B01PP1,1993Q3,0.039974,1753.788
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q3,0.0434436,1458.661
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q3,0.0106225,365.13
Industry groups,Other services,SG01RSC04B01RS2,1993Q3,0.0169469,504.905
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q3,0.070546,1933.1
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q4,0.0507368,1782.308
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q4,0.0134082,194.658
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q4,0.0091133,286.622
Industry groups,Mining,SG01RSC04B01BB1,1993Q4,0.0137555,674.481
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q4,0.0553027,1175.896
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q4,0.0107858,273.228
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q4,0.0180469,418.666
Industry groups,Printing,SG01RSC04B01CC4,1993Q4,0.0068038,193.058
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q4,0.0364135,883.372
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q4,0.0058345,158.175
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q4,0.0200692,557.118
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q4,0.0214171,743.811
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q4,0.0047012,172.058
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q4,0.0305941,1161.068
Industry groups,Construction,SG01RSC04B01EE1,1993Q4,0.035927,1248.092
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q4,0.0550565,1596.35
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q4,0.0467911,1213.104
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q4,0.0164506,658.902
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q4,0.0518636,1195.463
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q4,0.0397334,551.228
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q4,0.0450688,1500.095
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q4,0.0493695,1882.972
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q4,0.0740884,1992.847
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q4,0.0494887,2003.566
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q4,0.0139094,571.346
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q4,0.0052641,168.746
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q4,0.0384731,1211.951
Industry groups,Education and training,SG01RSC04B01PP1,1993Q4,0.039974,1772.841
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q4,0.0434436,1479.203
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q4,0.0106225,361.255
Industry groups,Other services,SG01RSC04B01RS2,1993Q4,0.0169469,523.491
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q4,0.070546,1973.697
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q1,0.0507368,1791.503
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q1,0.0134082,211.232
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q1,0.0091133,289.36
Industry groups,Mining,SG01RSC04B01BB1,1994Q1,0.0137555,636.386
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q1,0.0553027,1160.991
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q1,0.0107858,284.164
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q1,0.0180469,421.038
Industry groups,Printing,SG01RSC04B01CC4,1994Q1,0.0068038,207.648
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q1,0.0364135,896.987
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q1,0.0058345,158.016
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q1,0.0200692,575.033
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q1,0.0214171,763.336
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q1,0.0047012,180.65
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q1,0.0305941,1224.694
Industry groups,Construction,SG01RSC04B01EE1,1994Q1,0.035927,1196.129
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q1,0.0550565,1703.867
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q1,0.0467911,1241.804
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q1,0.0164506,668.398
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q1,0.0518636,1257.759
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q1,0.0397334,578.848
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q1,0.0450688,1516.145
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q1,0.0493695,1929.598
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q1,0.0740884,1989.956
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q1,0.0494887,2032.329
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q1,0.0139094,593.054
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q1,0.0052641,169.713
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q1,0.0384731,1213.62
Industry groups,Education and training,SG01RSC04B01PP1,1994Q1,0.039974,1790.524
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q1,0.0434436,1492.64
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q1,0.0106225,406.276
Industry groups,Other services,SG01RSC04B01RS2,1994Q1,0.0169469,547.57
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q1,0.070546,2005.659
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q2,0.0459274,1652.306
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q2,0.0106098,209.561
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q2,0.0085406,286.612
Industry groups,Mining,SG01RSC04B01BB1,1994Q2,0.012119,608.633
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q2,0.0548977,1192.128
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q2,0.0105634,292.198
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q2,0.0200734,417.213
Industry groups,Printing,SG01RSC04B01CC4,1994Q2,0.0069426,201.133
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q2,0.0392051,925.663
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q2,0.0063766,169.838
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q2,0.0193214,570.896
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q2,0.0219723,779.489
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q2,0.0051934,186.115
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q2,0.0295518,1181.913
Industry groups,Construction,SG01RSC04B01EE1,1994Q2,0.039156,1312.505
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q2,0.055254,1684.29
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q2,0.0471322,1275.753
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q2,0.0178629,686.681
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q2,0.0532403,1317.12
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q2,0.0398255,594.524
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q2,0.0450668,1512.545
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q2,0.0507076,1895.385
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q2,0.071793,1982.193
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q2,0.0515903,1980.996
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q2,0.0143817,581.194
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q2,0.0048869,162.336
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q2,0.0350076,1208.763
Industry groups,Education and training,SG01RSC04B01PP1,1994Q2,0.0387527,1809.077
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q2,0.042356,1472.787
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q2,0.0107983,411.473
Industry groups,Other services,SG01RSC04B01RS2,1994Q2,0.0170456,526.101
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q2,0.0738481,2064.346
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q3,0.0459274,1755.377
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q3,0.0106098,215.881
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q3,0.0085406,285.222
Industry groups,Mining,SG01RSC04B01BB1,1994Q3,0.012119,565.408
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q3,0.0548977,1225.482
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q3,0.0105634,281.435
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q3,0.0200734,430.071
Industry groups,Printing,SG01RSC04B01CC4,1994Q3,0.0069426,208.763
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q3,0.0392051,946.635
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q3,0.0063766,175.058
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q3,0.0193214,603.394
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q3,0.0219723,840.522
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q3,0.0051934,188.885
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q3,0.0295518,1320.672
Industry groups,Construction,SG01RSC04B01EE1,1994Q3,0.039156,1367.196
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q3,0.055254,1701.719
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q3,0.0471322,1305.214
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q3,0.0178629,704.001
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q3,0.0532403,1282.383
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q3,0.0398255,603.485
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q3,0.0450668,1528.079
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q3,0.0507076,1900.569
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q3,0.071793,1990.226
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q3,0.0515903,1952.063
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q3,0.0143817,574.008
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q3,0.0048869,159.77
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q3,0.0350076,1221.689
Industry groups,Education and training,SG01RSC04B01PP1,1994Q3,0.0387527,1820.56
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q3,0.042356,1499.199
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q3,0.0107983,410.733
Industry groups,Other services,SG01RSC04B01RS2,1994Q3,0.0170456,536.497
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q3,0.0738481,2108.557
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q4,0.0459274,1751.15
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q4,0.0106098,212.706
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q4,0.0085406,293.57
Industry groups,Mining,SG01RSC04B01BB1,1994Q4,0.012119,569.361
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q4,0.0548977,1231.861
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q4,0.0105634,295.499
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q4,0.0200734,444.509
Industry groups,Printing,SG01RSC04B01CC4,1994Q4,0.0069426,225.019
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q4,0.0392051,959.445
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q4,0.0063766,175.975
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q4,0.0193214,613.798
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q4,0.0219723,832.747
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q4,0.0051934,187.906
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q4,0.0295518,1265.918
Industry groups,Construction,SG01RSC04B01EE1,1994Q4,0.039156,1384.315
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q4,0.055254,1739.969
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q4,0.0471322,1313.015
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q4,0.0178629,722.708
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q4,0.0532403,1342.732
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q4,0.0398255,627.068
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q4,0.0450668,1572.564
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q4,0.0507076,1899.702
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q4,0.071793,2020.002
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q4,0.0515903,1985.019
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q4,0.0143817,595.024
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q4,0.0048869,160.452
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q4,0.0350076,1195.065
Industry groups,Education and training,SG01RSC04B01PP1,1994Q4,0.0387527,1828.4
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q4,0.042356,1518.504
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q4,0.0107983,425.159
Industry groups,Other services,SG01RSC04B01RS2,1994Q4,0.0170456,542.094
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q4,0.0738481,2142.608
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q1,0.0459274,1720.773
Industry groups,Forestry and logging,SG01RSC04B01AA2,1995Q1,0.0106098,207.272
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1995Q1,0.0085406,308.869
Industry groups,Mining,SG01RSC04B01BB1,1995Q1,0.012119,554.638
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1995Q1,0.0548977,1220.661
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1995Q1,0.0105634,283.49
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1995Q1,0.0200734,453.944
Industry groups,Printing,SG01RSC04B01CC4,1995Q1,0.0069426,213.465
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1995Q1,0.0392051,947.834
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1995Q1,0.0063766,192.673
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1995Q1,0.0193214,639.843
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1995Q1,0.0219723,866.28
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1995Q1,0.0051934,193.075
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1995Q1,0.0295518,1233.043
Industry groups,Construction,SG01RSC04B01EE1,1995Q1,0.039156,1451.023
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q1,0.055254,1776.364
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q1,0.0471322,1320.735
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q1,0.0178629,713.861
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q1,0.0532403,1387.494
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q1,0.0398255,632.441
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q1,0.0450668,1602.421
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q1,0.0507076,1919.32
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q1,0.071793,2073.352
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q1,0.0515903,2109.517
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q1,0.0143817,627.044
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q1,0.0048869,164.348
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q1,0.0350076,1204.836
Industry groups,Education and training,SG01RSC04B01PP1,1995Q1,0.0387527,1833.526
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q1,0.042356,1542.799
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1995Q1,0.0107983,441.261
Industry groups,Other services,SG01RSC04B01RS2,1995Q1,0.0170456,575.281
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1995Q1,0.0738481,2170.223
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q2,0.0453697,1836.231
Industry groups,Forestry and logging,SG01RSC04B01AA2,1995Q2,0.0102935,212.512
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1995Q2,0.0088423,317.829
Industry groups,Mining,SG01RSC04B01BB1,1995Q2,0.0112127,531.064
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1995Q2,0.0524956,1243.263
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1995Q2,0.0103778,275.459
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1995Q2,0.0209034,443.132
Industry groups,Printing,SG01RSC04B01CC4,1995Q2,0.0070352,222.359
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1995Q2,0.0335357,905.178
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1995Q2,0.0063262,181.761
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1995Q2,0.0193815,619.079
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1995Q2,0.0221184,844.973
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1995Q2,0.0048327,186.547
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1995Q2,0.0273793,1341.173
Industry groups,Construction,SG01RSC04B01EE1,1995Q2,0.0416344,1508.101
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q2,0.0560645,1842.214
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q2,0.046721,1327.788
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q2,0.0180816,797.134
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q2,0.0540741,1417.21
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q2,0.0424079,645.955
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q2,0.040164,1593.536
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q2,0.0515865,1961.888
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q2,0.075139,2050.468
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q2,0.0547344,2045.925
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q2,0.015497,600.886
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q2,0.0047938,167.94
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q2,0.034014,1209.124
Industry groups,Education and training,SG01RSC04B01PP1,1995Q2,0.0393389,1840.837
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q2,0.0428286,1564.109
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1995Q2,0.011401,447.897
Industry groups,Other services,SG01RSC04B01RS2,1995Q2,0.0174796,571.043
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1995Q2,0.0739358,2173.013
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q3,0.0453697,1807.231
Industry groups,Forestry and logging,SG01RSC04B01AA2,1995Q3,0.0102935,214.327
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1995Q3,0.0088423,323.117
Industry groups,Mining,SG01RSC04B01BB1,1995Q3,0.0112127,631.742
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1995Q3,0.0524956,1226.679
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1995Q3,0.0103778,267.811
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1995Q3,0.0209034,428.622
Industry groups,Printing,SG01RSC04B01CC4,1995Q3,0.0070352,223.736
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1995Q3,0.0335357,929.415
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1995Q3,0.0063262,185.129
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1995Q3,0.0193815,613.424
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1995Q3,0.0221184,823.779
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1995Q3,0.0048327,176.768
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1995Q3,0.0273793,1295.716
Industry groups,Construction,SG01RSC04B01EE1,1995Q3,0.0416344,1479.777
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q3,0.0560645,1857.764
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q3,0.046721,1342.827
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q3,0.0180816,720.783
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q3,0.0540741,1474.037
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q3,0.0424079,668.517
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q3,0.040164,1607.65
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q3,0.0515865,1999.484
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q3,0.075139,2054.674
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q3,0.0547344,2170.129
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q3,0.015497,630.709
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q3,0.0047938,168.384
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q3,0.034014,1204.195
Industry groups,Education and training,SG01RSC04B01PP1,1995Q3,0.0393389,1854.266
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q3,0.0428286,1584.252
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1995Q3,0.011401,467.293
Industry groups,Other services,SG01RSC04B01RS2,1995Q3,0.0174796,587.415
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1995Q3,0.0739358,2189.348
